Detector Descriptor ImageID lidarTTC cameraTTC TTC_Difference
HARRIS ORB 6 12.6787 58.4398 -45.7611
HARRIS ORB 7 11.9844 13.5316 -1.54725
HARRIS ORB 8 13.1241 -inf inf
HARRIS ORB 9 13.0241 13.0459 -0.0217695
HARRIS ORB 10 11.1746 nan nan
HARRIS ORB 11 12.8086 nan nan
HARRIS ORB 12 8.95978 12.2294 -3.26961
HARRIS ORB 13 9.96439 nan nan
HARRIS ORB 14 9.59863 nan nan
HARRIS ORB 15 8.57352 6.2196 2.35392
HARRIS ORB 16 9.51617 -inf inf
HARRIS ORB 17 9.54658 nan nan
HARRIS ORB 18 8.3988 nan nan
HARRIS FREAK 1 12.5156 56.0386 -43.523
HARRIS FREAK 2 12.6142 10.7161 1.89814
HARRIS FREAK 3 14.091 12.7213 1.36972
HARRIS FREAK 4 16.6894 20.1203 -3.4309
HARRIS FREAK 5 15.9082 13.4692 2.43898
HARRIS FREAK 6 12.6787 58.4398 -45.7611
HARRIS FREAK 7 11.9844 10.1682 1.81619
HARRIS FREAK 8 13.1241 -inf inf
HARRIS FREAK 9 13.0241 11.1224 1.9017
HARRIS FREAK 10 11.1746 nan nan
HARRIS FREAK 11 12.8086 nan nan
HARRIS FREAK 12 8.95978 12.2294 -3.26961
HARRIS FREAK 13 9.96439 nan nan
HARRIS FREAK 14 9.59863 nan nan
HARRIS FREAK 15 8.57352 6.2196 2.35392
HARRIS FREAK 16 9.51617 -inf inf
HARRIS FREAK 17 9.54658 11.0839 -1.53736
HARRIS FREAK 18 8.3988 nan nan
FAST BRISK 1 12.5156 12.3 0.2156
FAST BRISK 2 12.6142 12.309 0.305269
FAST BRISK 3 14.091 14.3325 -0.241458
FAST BRISK 4 16.6894 12.6977 3.99174
FAST BRISK 5 15.9082 47.3039 -31.3957
FAST BRISK 6 12.6787 13.2481 -0.569349
FAST BRISK 7 11.9844 29.3182 -17.3339
FAST BRISK 8 13.1241 11.2085 1.9156
FAST BRISK 9 13.0241 13.3673 -0.343231
FAST BRISK 10 11.1746 13.0515 -1.87681
FAST BRISK 11 12.8086 14.0835 -1.27491
FAST BRISK 12 8.95978 11.4828 -2.52307
FAST BRISK 13 9.96439 12.3705 -2.40608
FAST BRISK 14 9.59863 12.0431 -2.44446
FAST BRISK 15 8.57352 11.7034 -3.12988
FAST BRISK 16 9.51617 11.9434 -2.42718
FAST BRISK 17 9.54658 8.23767 1.30891
FAST BRISK 18 8.3988 11.7502 -3.35142
FAST BRIEF 1 12.5156 10.7101 1.80555
FAST BRIEF 2 12.6142 11.0014 1.61281
FAST BRIEF 3 14.091 14.1355 -0.0445255
FAST BRIEF 4 16.6894 14.3697 2.3197
FAST BRIEF 5 15.9082 20.0387 -4.13044
FAST BRIEF 6 12.6787 13.2913 -0.612606
FAST BRIEF 7 11.9844 12.2182 -0.233807
FAST BRIEF 8 13.1241 12.7596 0.364539
FAST BRIEF 9 13.0241 12.6 0.424118
FAST BRIEF 10 11.1746 13.4681 -2.29342
FAST BRIEF 11 12.8086 13.7533 -0.94472
FAST BRIEF 12 8.95978 10.974 -2.01419
FAST BRIEF 13 9.96439 12.3343 -2.36992
FAST BRIEF 14 9.59863 11.2431 -1.64451
FAST BRIEF 15 8.57352 11.8675 -3.29398
FAST BRIEF 16 9.51617 11.8398 -2.32367
FAST BRIEF 17 9.54658 7.92013 1.62645
FAST BRIEF 18 8.3988 11.554 -3.15518
FAST ORB 1 12.5156 11.0105 1.5051
FAST ORB 2 12.6142 10.7587 1.85556
FAST ORB 3 14.091 11.4167 2.6743
FAST ORB 4 16.6894 12.8528 3.8366
FAST ORB 5 15.9082 18.0744 -2.16614
FAST ORB 6 12.6787 12.9991 -0.320414
FAST ORB 7 11.9844 11.6025 0.381848
FAST ORB 8 13.1241 11.1687 1.95545
FAST ORB 9 13.0241 12.1119 0.912196
